#           x0                          p(x0)                          E_abs
        0.105527638E+00               0.795182729E+00               0.129562048E-01
        0.115577889E+00               0.761307476E+00               0.116576827E-01
        0.125628141E+00               0.726680580E+00               0.960891125E-02
        0.135678392E+00               0.691747711E+00               0.691735795E-02
        0.145728643E+00               0.656934377E+00               0.373278018E-02
        0.155778894E+00               0.622637255E+00               0.234463969E-03
        0.165829146E+00               0.589216464E+00               0.338222492E-02
        0.175879397E+00               0.556988969E+00               0.691898580E-02
        0.185929648E+00               0.526223285E+00               0.101866515E-01
        0.195979899E+00               0.497135614E+00               0.130156244E-01
        0.206030151E+00               0.469887473E+00               0.152643167E-01
        0.216080402E+00               0.444584895E+00               0.168254007E-01
        0.226130653E+00               0.421279156E+00               0.176298056E-01
        0.236180905E+00               0.399969022E+00               0.176485087E-01
        0.246231156E+00               0.380604384E+00               0.168922529E-01
        0.256281407E+00               0.363091180E+00               0.154093841E-01
        0.266331658E+00               0.347297409E+00               0.132820528E-01
        0.276381910E+00               0.333060053E+00               0.106210609E-01
        0.286432161E+00               0.320192651E+00               0.755965350E-02
        0.296482412E+00               0.308493303E+00               0.424657620E-02
        0.306532663E+00               0.297752810E+00               0.838717933E-03
        0.316582915E+00               0.287762705E+00               0.250634055E-02
        0.326633166E+00               0.278322898E+00               0.563756605E-02
        0.336683417E+00               0.269248691E+00               0.841721262E-02
        0.346733668E+00               0.260376922E+00               0.107268017E-01
        0.356783920E+00               0.251571051E+00               0.124721176E-01
        0.366834171E+00               0.242725010E+00               0.135870330E-01
        0.376884422E+00               0.233765700E+00               0.140360275E-01
        0.386934673E+00               0.224654067E+00               0.138153123E-01
        0.396984925E+00               0.215384718E+00               0.129525260E-01
        0.407035176E+00               0.205984122E+00               0.115050278E-01
        0.417085427E+00               0.196507472E+00               0.955686188E-02
        0.427135678E+00               0.187034349E+00               0.721452803E-02
        0.437185930E+00               0.177663365E+00               0.460173779E-02
        0.447236181E+00               0.168506021E+00               0.185338210E-02
        0.457286432E+00               0.159680039E+00               0.891027659E-03
        0.467336683E+00               0.151302464E+00               0.349415580E-02
        0.477386935E+00               0.143482830E+00               0.582756938E-02
        0.487437186E+00               0.136316724E+00               0.777808486E-02
        0.497487437E+00               0.129880029E+00               0.925343052E-02
        0.507537688E+00               0.124224142E+00               0.101869418E-01
        0.517587940E+00               0.119372418E+00               0.105410404E-01
        0.527638191E+00               0.115318033E+00               0.103092947E-01
        0.537688442E+00               0.112023414E+00               0.951691741E-02
        0.547738693E+00               0.109421319E+00               0.821962405E-02
        0.557788945E+00               0.107417554E+00               0.650085226E-02
        0.567839196E+00               0.105895259E+00               0.446742360E-02
        0.577889447E+00               0.104720583E+00               0.224381181E-02
        0.587939698E+00               0.103749518E+00               0.347364948E-04
        0.597989950E+00               0.102835558E+00               0.222990702E-02
        0.608040201E+00               0.101837805E+00               0.420846145E-02
        0.618090452E+00               0.100629068E+00               0.585038059E-02
        0.628140704E+00               0.991035052E-01               0.705653458E-02
        0.638190955E+00               0.971832990E-01               0.775539732E-02
        0.648241206E+00               0.948239207E-01               0.790833645E-02
        0.658291457E+00               0.920175414E-01               0.751305384E-02
        0.668341709E+00               0.887942448E-01               0.660482368E-02
        0.678391960E+00               0.852207889E-01               0.525527817E-02
        0.688442211E+00               0.813967987E-01               0.356862168E-02
        0.698492462E+00               0.774484251E-01               0.167531015E-02
        0.708542714E+00               0.735196839E-01               0.276591382E-03
        0.718592965E+00               0.697618739E-01               0.213197281E-02
        0.728643216E+00               0.663216665E-01               0.374057408E-02
        0.738693467E+00               0.633286339E-01               0.496944176E-02
        0.748743719E+00               0.608831416E-01               0.571502260E-02
        0.758793970E+00               0.590456426E-01               0.591385712E-02
        0.768844221E+00               0.578284627E-01               0.555078211E-02
        0.778894472E+00               0.571911443E-01               0.466357578E-02
        0.788944724E+00               0.570402955E-01               0.334309892E-02
        0.798994975E+00               0.572346575E-01               0.172821764E-02
        0.809045226E+00               0.575957517E-01               0.485195356E-05
        0.819095477E+00               0.579239795E-01               0.165865255E-02
        0.829145729E+00               0.580194457E-01               0.303531574E-02
        0.839195980E+00               0.577060568E-01               0.396066783E-02
        0.849246231E+00               0.568566691E-01               0.430938433E-02
        0.859296482E+00               0.554162700E-01               0.402817773E-02
        0.869346734E+00               0.534194774E-01               0.315330183E-02
        0.879396985E+00               0.509981563E-01               0.181817456E-02
        0.889447236E+00               0.483748803E-01               0.246843515E-03
        0.899497487E+00               0.458385293E-01               0.127041091E-02
        0.909547739E+00               0.436998609E-01               0.242150042E-02
        0.919597990E+00               0.422278073E-01               0.293622755E-02
        0.929648241E+00               0.415720736E-01               0.266368359E-02
        0.939698492E+00               0.416849856E-01               0.165039769E-02
        0.949748744E+00               0.422662653E-01               0.195557589E-03
        0.959798995E+00               0.427694936E-01               0.115545620E-02
        0.969849246E+00               0.425296477E-01               0.173860995E-02
        0.979899497E+00               0.410987280E-01               0.110684734E-02
        0.989949749E+00               0.389128712E-01               0.302795695E-03
        0.100000000E+01               0.384615385E-01               0.000000000E+00
